FID,Shape,DPTO_CCDGO,MPIO_CCDGO,MUNICIPIO,DEPARTAMENTO,PK,CODIGO_DANE,Region,CODIGO_PRO,PROVINCIA,RURALIDAD,Capital,Población,Área_No_Municipalizada,Instrumento,Categoria_Municipal,Nivel_Desempeño_Fiscal,PDET,ZOMAC,IRV,INFORMALIDAD,Año,Cod_precio,irradiado_rango_prec,rango_prec,irradiado,Codigo_D1,Isocrona_25k_DPTO,Isocrona_25K_MPIO,Isocrona_25K_TIEMPO,Isocrona_25K_HORA,Isocrona_25K_DIST,Isocrona_CAPIT_DPTO,Isocrona_CAPI_MPIO,Isocrona_CAPI_TIEMPO,Isocrona_CAPI_HORA,Isocrona_CAPI_DIST,Tamaño_Predial_Area,Tamaño_predial_AREA_HA,Tamaño_predial_numero,Tamaño_Predial_numero_(ha),GRUPO_UFH,AREA_UFH,Uso_agrope,Observacio,COD_MPIO,LATITUD,LONGITUD
281,Polygon,5,1,MEDELLIN,ANTIOQUIA,5001,5001,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,si,2595300,-,3. POT,ESPECIAL,G1_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.330386,-,-,Irradiado_Mayor que 400 - hasta 500,Mayor que 400 - hasta 500,1,5001,Antioquia,MEDELLÍN,0,A1. Menos 1 hora,0,Antioquia,MEDELLÍN,0,A1. Menos 1 hora,0,Mediana propiedad,8840.591323,Pequeña propiedad,3869,4,12839.01428,SI,-,5001,6.257590259,-75.61103107
304,Polygon,5,2,ABEJORRAL,ANTIOQUIA,5002,5002,Andina,506,ORIENTE,Rural,-,21297,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Medio Bajo,0.610351,-,-,Irradiado_Mayor que 140 - hasta 160,Mayor que 140 - hasta 160,1,5002,Antioquia,LA CEJA,1.170065,A2. Mayor que 1 y menor que 2 horas,34.79899,Antioquia,MEDELLÍN,2.221,A3. Mayor que 2 y menor que 3 horas,72.270772,Pequeña propiedad,25108.60931967532,Pequeña propiedad,6214,3,23503.75583,SI,-,5002,5.803728154,-75.43847353
303,Polygon,5,4,ABRIAQUI,ANTIOQUIA,5004,5004,Andina,505,OCCIDENTE,Rural disperso,-,2841,-,1. EOT,SEIS,G1_ALTO,No PDET, ZOMAC,Bajo,0.52461,-,-,Irradiado_Mayor que 15 - hasta 20,Mayor que 15 - hasta 20,1,5004,Antioquia,BELLO,3.83523,A4. Mayor que 3 y menor que 4 horas,103.964379,Antioquia,MEDELLÍN,4.396107,A5. Mayor que 4 y menor que 5 horas,113.248441,Pequeña propiedad,52.96893439942217,Pequeña propiedad,7,4,131.738154,SI,-,5004,6.627569378,-76.08597756
302,Polygon,5,21,ALEJANDRIA,ANTIOQUIA,5021,5021,Andina,506,ORIENTE,Rural,-,4912,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Bajo,0.780562,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5021,Antioquia,BARBOSA,1.034509,A2. Mayor que 1 y menor que 2 horas,27.573506,Antioquia,MEDELLÍN,2.097059,A3. Mayor que 2 y menor que 3 horas,65.589654,Pequeña propiedad,5809.280812075443,Pequeña propiedad,1154,3,4603.228652,SI,-,5021,6.365534125,-75.09059702
301,Polygon,5,30,AMAGA,ANTIOQUIA,5030,5030,Andina,507,SUROESTE,Intermedio,-,32142,-,2. PBOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.588635,2024,5.1.1,Mayor que 120 - hasta 140,Mayor que 120 - hasta 140,0,5030,Antioquia,CALDAS,0.450208,A1. Menos 1 hora,15.163961,Antioquia,MEDELLÍN,0.925888,A1. Menos 1 hora,38.370563,"Gran propiedad, latifundios",493.0946635697523,Pequeña propiedad,67,2,445.326007,SI,-,5030,6.032921994,-75.7080031
300,Polygon,5,31,AMALFI,ANTIOQUIA,5031,5031,Andina,503,NORDESTE,Rural,-,27637,-,1. EOT,SEIS,G4_MEDIO_BAJO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Medio Alto,0.577379,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5031,Antioquia,SEGOVIA,2.163889,A3. Mayor que 2 y menor que 3 horas,82.60925,Antioquia,MEDELLÍN,3.354158,A4. Mayor que 3 y menor que 4 horas,133.126111,Mediana propiedad,58960.884007381086,Pequeña propiedad,1601,3,45121.8301,SI,-,5031,6.977788843,-74.9812393
299,Polygon,5,34,ANDES,ANTIOQUIA,5034,5034,Andina,507,SUROESTE,Intermedio,-,45796,-,2. PBOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.429085,2024,4.2.1,Mayor que 80 - hasta 100,Mayor que 80 - hasta 100,0,5034,Antioquia,CALDAS,2.314897,A3. Mayor que 2 y menor que 3 horas,87.313413,Antioquia,MEDELLÍN,2.790576,A3. Mayor que 2 y menor que 3 horas,110.520014,Pequeña propiedad,1406.501885531212,Pequeña propiedad,733,3,1063.647919,SI,-,5034,5.604993248,-75.94128391
298,Polygon,5,36,ANGELOPOLIS,ANTIOQUIA,5036,5036,Andina,507,SUROESTE,Intermedio,-,6082,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Bajo,0.554012,2024,3.2.2,Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,0,5036,Antioquia,CALDAS,0.585439,A1. Menos 1 hora,11.912489,Antioquia,MEDELLÍN,1.047691,A2. Mayor que 1 y menor que 2 horas,35.001934,Mediana propiedad,650.5194514269567,Pequeña propiedad,134,3,376.645106,SI,-,5036,6.121430303,-75.71594966
297,Polygon,5,38,ANGOSTURA,ANTIOQUIA,5038,5038,Andina,504,NORTE,Rural disperso,-,12005,-,1. EOT,SEIS,G3_MEDIO,No PDET, ZOMAC,Medio Alto,0.589065,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5038,Antioquia,YARUMAL,0.648078,A1. Menos 1 hora,15.94386,Antioquia,MEDELLÍN,2.867662,A3. Mayor que 2 y menor que 3 horas,113.773925,Mediana propiedad,13236.335518772405,Pequeña propiedad,3005,3,18688.26757,SI,-,5038,6.861498764,-75.358316
296,Polygon,5,40,ANORI,ANTIOQUIA,5040,5040,Andina,503,NORDESTE,Rural,-,19527,-,1. EOT,SEIS,G3_MEDIO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Alto,0.633219,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5040,Antioquia,YARUMAL,1.565964,A2. Mayor que 1 y menor que 2 horas,44.890159,Antioquia,MEDELLÍN,4.228916,A5. Mayor que 4 y menor que 5 horas,140.544488,Mediana propiedad,70618.57884450944,Pequeña propiedad,1274,4,58936.94871,SI,-,5040,7.193110778,-75.10848954
