codigo_gpkg_sin_match
13490
19300
19318
19418
19809
23682
23815
27006
27075
27077
27099
27372
27495
27745
52250
52390
52473
52490
52520
52696
86573
88001
88564
91263
91405
91407
91430
91460
91530
91536
91540
91669
91798
94001
94343
94663
94883
94884
94885
94886
94887
94888
97001
97161
97511
97666
97777
97889
99001
99773
