FID,Shape,DPTO_CCDGO,MPIO_CCDGO,MUNICIPIO,DEPARTAMENTO,PK,CODIGO_DANE,Region,CODIGO_PRO,PROVINCIA,RURALIDAD,Capital,Población,Área_No_Municipalizada,Instrumento,Categoria_Municipal,Nivel_Desempeño_Fiscal,PDET,ZOMAC,IRV,INFORMALIDAD,Año,Cod_precio,irradiado_rango_prec,rango_prec,irradiado,Codigo_D1,Isocrona_25k_DPTO,Isocrona_25K_MPIO,Isocrona_25K_TIEMPO,Isocrona_25K_HORA,Isocrona_25K_DIST,Isocrona_CAPIT_DPTO,Isocrona_CAPI_MPIO,Isocrona_CAPI_TIEMPO,Isocrona_CAPI_HORA,Isocrona_CAPI_DIST,Tamaño_Predial_Area,Tamaño_predial_AREA_HA,Tamaño_predial_numero,Tamaño_Predial_numero_(ha),GRUPO_UFH,AREA_UFH,Uso_agrope,Observacio,VCRT_valor_medio
281,Polygon,5,1,MEDELLIN,ANTIOQUIA,5001,5001,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,si,2595300,-,3. POT,ESPECIAL,G1_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.330386,-,-,Irradiado_Mayor que 400 - hasta 500,Mayor que 400 - hasta 500,1,5001.0,Antioquia,MEDELLÍN,0.0,A1. Menos 1 hora,0.0,Antioquia,MEDELLÍN,0.0,A1. Menos 1 hora,0.0,Mediana propiedad,8840.59132250457,Pequeña propiedad,3869.0,4,12839.014283,SI,-,
304,Polygon,5,2,ABEJORRAL,ANTIOQUIA,5002,5002,Andina,506,ORIENTE,Rural,-,21297,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Medio Bajo,0.610351,-,-,Irradiado_Mayor que 140 - hasta 160,Mayor que 140 - hasta 160,1,5002.0,Antioquia,LA CEJA,1.170065,A2. Mayor que 1 y menor que 2 horas,34.79899,Antioquia,MEDELLÍN,2.221,A3. Mayor que 2 y menor que 3 horas,72.270772,Pequeña propiedad,25108.60931967532,Pequeña propiedad,6214.0,3,23503.755827,SI,-,
303,Polygon,5,4,ABRIAQUI,ANTIOQUIA,5004,5004,Andina,505,OCCIDENTE,Rural disperso,-,2841,-,1. EOT,SEIS,G1_ALTO,No PDET, ZOMAC,Bajo,0.52461,-,-,Irradiado_Mayor que 15 - hasta 20,Mayor que 15 - hasta 20,1,5004.0,Antioquia,BELLO,3.83523,A4. Mayor que 3 y menor que 4 horas,103.964379,Antioquia,MEDELLÍN,4.396107,A5. Mayor que 4 y menor que 5 horas,113.248441,Pequeña propiedad,52.96893439942217,Pequeña propiedad,7.0,4,131.738154,SI,-,
302,Polygon,5,21,ALEJANDRIA,ANTIOQUIA,5021,5021,Andina,506,ORIENTE,Rural,-,4912,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Bajo,0.780562,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5021.0,Antioquia,BARBOSA,1.034509,A2. Mayor que 1 y menor que 2 horas,27.573506,Antioquia,MEDELLÍN,2.097059,A3. Mayor que 2 y menor que 3 horas,65.589654,Pequeña propiedad,5809.280812075443,Pequeña propiedad,1154.0,3,4603.228652,SI,-,
301,Polygon,5,30,AMAGA,ANTIOQUIA,5030,5030,Andina,507,SUROESTE,Intermedio,-,32142,-,2. PBOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.588635,2024,5.1.1,Mayor que 120 - hasta 140,Mayor que 120 - hasta 140,0,5030.0,Antioquia,CALDAS,0.450208,A1. Menos 1 hora,15.163961,Antioquia,MEDELLÍN,0.925888,A1. Menos 1 hora,38.370563,"Gran propiedad, latifundios",493.0946635697523,Pequeña propiedad,67.0,2,445.326007,SI,-,
300,Polygon,5,31,AMALFI,ANTIOQUIA,5031,5031,Andina,503,NORDESTE,Rural,-,27637,-,1. EOT,SEIS,G4_MEDIO_BAJO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Medio Alto,0.577379,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5031.0,Antioquia,SEGOVIA,2.163889,A3. Mayor que 2 y menor que 3 horas,82.60925,Antioquia,MEDELLÍN,3.354158,A4. Mayor que 3 y menor que 4 horas,133.126111,Mediana propiedad,58960.884007381086,Pequeña propiedad,1601.0,3,45121.830096,SI,-,
299,Polygon,5,34,ANDES,ANTIOQUIA,5034,5034,Andina,507,SUROESTE,Intermedio,-,45796,-,2. PBOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.577379,2024,4.2.1,Mayor que 80 - hasta 100,Mayor que 80 - hasta 100,0,5034.0,Antioquia,CALDAS,2.314897,A3. Mayor que 2 y menor que 3 horas,87.313413,Antioquia,MEDELLÍN,2.790576,A3. Mayor que 2 y menor que 3 horas,110.520014,Pequeña propiedad,1406.501885531212,Pequeña propiedad,733.0,3,1063.647919,SI,-,
298,Polygon,5,36,ANGELOPOLIS,ANTIOQUIA,5036,5036,Andina,507,SUROESTE,Intermedio,-,6082,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Bajo,0.554012,2024,3.2.2,Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,0,5036.0,Antioquia,CALDAS,0.585439,A1. Menos 1 hora,11.912489,Antioquia,MEDELLÍN,1.047691,A2. Mayor que 1 y menor que 2 horas,35.001934,Mediana propiedad,650.5194514269567,Pequeña propiedad,134.0,3,376.645106,SI,-,
297,Polygon,5,38,ANGOSTURA,ANTIOQUIA,5038,5038,Andina,504,NORTE,Rural disperso,-,12005,-,1. EOT,SEIS,G3_MEDIO,No PDET, ZOMAC,Medio Alto,0.589065,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5038.0,Antioquia,YARUMAL,0.648078,A1. Menos 1 hora,15.94386,Antioquia,MEDELLÍN,2.867662,A3. Mayor que 2 y menor que 3 horas,113.773925,Mediana propiedad,13236.335518772405,Pequeña propiedad,3005.0,3,18688.267567,SI,-,
296,Polygon,5,40,ANORI,ANTIOQUIA,5040,5040,Andina,503,NORDESTE,Rural,-,19527,-,1. EOT,SEIS,G3_MEDIO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Alto,0.633219,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5040.0,Antioquia,YARUMAL,1.565964,A2. Mayor que 1 y menor que 2 horas,44.890159,Antioquia,MEDELLÍN,4.228916,A5. Mayor que 4 y menor que 5 horas,140.544488,Mediana propiedad,70618.57884450944,Pequeña propiedad,1274.0,4,58936.948705,SI,-,
295,Polygon,5,42,SANTAFE DE ANTIOQUIA,ANTIOQUIA,5042,5042,Andina,505,OCCIDENTE,Rural,-,27831,-,1. EOT,CINCO,G1_ALTO,No PDET, ZOMAC,Medio,0.434881,-,-,Irradiado_Mayor que 200 - hasta 250,Mayor que 200 - hasta 250,1,5042.0,Antioquia,BELLO,1.589578,A2. Mayor que 1 y menor que 2 horas,52.077164,Antioquia,MEDELLÍN,2.150455,A3. Mayor que 2 y menor que 3 horas,61.361227,Mediana propiedad,24307.61309407117,Pequeña propiedad,3823.0,4,34401.445484,SI,-,
294,Polygon,5,44,ANZA,ANTIOQUIA,5044,5044,Andina,505,OCCIDENTE,Rural disperso,-,7433,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.775,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5044.0,Antioquia,BELLO,2.270951,A3. Mayor que 2 y menor que 3 horas,76.705087,Antioquia,MEDELLÍN,2.831828,A3. Mayor que 2 y menor que 3 horas,85.989149,Mediana propiedad,9652.570785208381,Pequeña propiedad,1326.0,4,19168.21784,SI,-,
403,Polygon,5,45,APARTADO,ANTIOQUIA,5045,5045,Andina,508,URABA,Ciudades y aglomeraciones,-,130362,-,3. POT,TRES,G2_MEDIO_ALTO,PDET Urabá Antioqueño, ZOMAC,Medio,0.692543,-,-,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,5045.0,Antioquia,APARTADÓ,0.0,A1. Menos 1 hora,0.0,Córdoba,MONTERÍA,4.472517,A5. Mayor que 4 y menor que 5 horas,226.522157,Mediana propiedad,39993.051958521064,Pequeña propiedad,1184.0,3,25284.683142,SI,-,
293,Polygon,5,51,ARBOLETES,ANTIOQUIA,5051,5051,Andina,508,URABA,Intermedio,-,31853,-,2. PBOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.613794,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5051.0,Córdoba,MONTERÍA,1.576415,A2. Mayor que 1 y menor que 2 horas,74.248737,Córdoba,MONTERÍA,1.553917,A2. Mayor que 1 y menor que 2 horas,73.407316,Mediana propiedad,48296.060207530914,Pequeña propiedad,2188.0,2,42143.100487,SI,-,
292,Polygon,5,55,ARGELIA,ANTIOQUIA,5055,5055,Andina,506,ORIENTE,Rural disperso,-,7975,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Alto,0.516161,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5055.0,Antioquia,LA CEJA,1.918687,A2. Mayor que 1 y menor que 2 horas,77.036457,Antioquia,MEDELLÍN,2.981157,A3. Mayor que 2 y menor que 3 horas,115.249661,Mediana propiedad,8219.327167247198,Pequeña propiedad,1951.0,4,14515.14906,SI,-,
291,Polygon,5,59,ARMENIA,ANTIOQUIA,5059,5059,Andina,505,OCCIDENTE,Rural,-,5358,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.386467,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5059.0,Antioquia,CALDAS,1.518159,A2. Mayor que 1 y menor que 2 horas,48.573001,Antioquia,MEDELLÍN,1.798613,A2. Mayor que 1 y menor que 2 horas,45.207316,"Gran propiedad, latifundios",4931.170882865111,Pequeña propiedad,1133.0,4,5203.584648,SI,-,
290,Polygon,5,79,BARBOSA,ANTIOQUIA,5079,5079,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,55649,-,2. PBOT,CUATRO,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.626284,-,-,Irradiado_Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,1,5079.0,Antioquia,BARBOSA,0.0,A1. Menos 1 hora,0.0,Antioquia,MEDELLÍN,1.098924,A2. Mayor que 1 y menor que 2 horas,38.830361,Pequeña propiedad,10303.443560802738,Pequeña propiedad,5348.0,4,11107.413417,SI,-,
289,Polygon,5,86,BELMIRA,ANTIOQUIA,5086,5086,Andina,504,NORTE,Rural disperso,-,6356,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.702008,2017,3.2.2,Irradiado_Mayor que 100 - hasta 120,Mayor que 100 - hasta 120,1,5086.0,Antioquia,BELLO,1.174409,A2. Mayor que 1 y menor que 2 horas,43.594322,Antioquia,MEDELLÍN,1.735286,A2. Mayor que 1 y menor que 2 horas,52.878384,Mediana propiedad,20.41649462698231,Pequeña propiedad,11.0,2,28.814363,SI,Agropecuario,
288,Polygon,5,88,BELLO,ANTIOQUIA,5088,5088,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,561955,-,3. POT,UNO,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Bajo,0.582293,-,-,Irradiado_Mayor que 300 - hasta 400,Mayor que 300 - hasta 400,1,5088.0,Antioquia,BELLO,0.0,A1. Menos 1 hora,0.0,Antioquia,MEDELLÍN,0.576162,A1. Menos 1 hora,9.342641,Pequeña propiedad,4741.556302711102,Pequeña propiedad,1789.0,4,5129.798449,SI,-,
287,Polygon,5,91,BETANIA,ANTIOQUIA,5091,5091,Andina,507,SUROESTE,Intermedio,-,10808,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio,0.458927,2024,4.1.1,Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,0,5091.0,Antioquia,CALDAS,2.193383,A3. Mayor que 2 y menor que 3 horas,79.10925,Antioquia,MEDELLÍN,2.669063,A3. Mayor que 2 y menor que 3 horas,102.315851,Mediana propiedad,551.8020283520317,Pequeña propiedad,103.0,4,569.712218,SI,-,
286,Polygon,5,93,BETULIA,ANTIOQUIA,5093,5093,Andina,507,SUROESTE,Intermedio,-,16485,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.569202,2024,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,5093.0,Antioquia,CALDAS,2.334966,A3. Mayor que 2 y menor que 3 horas,80.702143,Antioquia,MEDELLÍN,2.810646,A3. Mayor que 2 y menor que 3 horas,103.908745,Pequeña propiedad,553.4949750782347,Pequeña propiedad,190.0,3,697.686082,SI,-,
282,Polygon,5,101,CIUDAD BOLIVAR,ANTIOQUIA,5101,5101,Andina,507,SUROESTE,Intermedio,-,27458,-,1. EOT,SEIS,G1_ALTO,No PDET,NO ZOMAC,Medio,0.306362,2024,3.3.2,Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,0,5101.0,Antioquia,CALDAS,1.967864,A2. Mayor que 1 y menor que 2 horas,75.9193,Antioquia,MEDELLÍN,2.443544,A3. Mayor que 2 y menor que 3 horas,99.125902,Mediana propiedad,3668.600724733422,Pequeña propiedad,1243.0,3,4317.395318,SI,-,
283,Polygon,5,107,BRICEÑO,ANTIOQUIA,5107,5107,Andina,504,NORTE,Rural disperso,-,8473,-,1. EOT,CINCO,G4_MEDIO_BAJO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Alto,0.515258,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5107.0,Antioquia,YARUMAL,1.275075,A2. Mayor que 1 y menor que 2 horas,34.084776,Antioquia,MEDELLÍN,4.085076,A5. Mayor que 4 y menor que 5 horas,148.093016,Mediana propiedad,25394.585162929154,Pequeña propiedad,1185.0,3,21819.289798,SI,-,
284,Polygon,5,113,BURITICA,ANTIOQUIA,5113,5113,Andina,505,OCCIDENTE,Rural disperso,-,9925,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.657778,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5113.0,Antioquia,BELLO,2.638751,A3. Mayor que 2 y menor que 3 horas,81.316356,Antioquia,MEDELLÍN,3.199628,A4. Mayor que 3 y menor que 4 horas,90.600418,"Gran propiedad, latifundios",15190.640881582625,Pequeña propiedad,2050.0,4,31588.907845,SI,-,
285,Polygon,5,120,CACERES,ANTIOQUIA,5120,5120,Andina,501,BAJO CAUCA,Rural disperso,-,30925,-,2. PBOT,SEIS,G5_BAJO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Alto,0.753663,-,-,Irradiado_Mayor que 15 - hasta 20,Mayor que 15 - hasta 20,1,5120.0,Antioquia,CAUCASIA,1.138445,A2. Mayor que 1 y menor que 2 horas,58.249957,Córdoba,MONTERÍA,3.357914,A4. Mayor que 3 y menor que 4 horas,182.438304,"Gran propiedad, latifundios",118373.46884800753,Mediana propiedad,888.0,3,108752.520339,SI,-,
350,Polygon,5,125,CAICEDO,ANTIOQUIA,5125,5125,Andina,507,SUROESTE,Rural disperso,-,8798,-,1. EOT,SEIS,G3_MEDIO,No PDET, ZOMAC,Medio Bajo,0.481843,-,-,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,5125.0,Antioquia,BELLO,2.84995,A3. Mayor que 2 y menor que 3 horas,80.171991,Antioquia,MEDELLÍN,3.410827,A4. Mayor que 3 y menor que 4 horas,89.456053,Mediana propiedad,6766.662665330266,Pequeña propiedad,1782.0,4,11529.003901,SI,-,
349,Polygon,5,129,CALDAS,ANTIOQUIA,5129,5129,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,85385,-,2. PBOT,TRES,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Bajo,0.539605,-,-,Irradiado_Mayor que 200 - hasta 250,Mayor que 200 - hasta 250,1,5129.0,Antioquia,CALDAS,0.0,A1. Menos 1 hora,0.0,Antioquia,MEDELLÍN,0.527421,A1. Menos 1 hora,23.606602,Mediana propiedad,5498.782044835743,Pequeña propiedad,1264.0,4,8471.899199,SI,-,
348,Polygon,5,134,CAMPAMENTO,ANTIOQUIA,5134,5134,Andina,504,NORTE,Rural,-,9671,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET, ZOMAC,Alto,0.646421,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5134.0,Antioquia,YARUMAL,0.493643,A1. Menos 1 hora,17.150967,Antioquia,MEDELLÍN,3.271499,A4. Mayor que 3 y menor que 4 horas,129.710678,Mediana propiedad,13626.793621421948,Pequeña propiedad,1704.0,3,10931.907922,SI,-,
347,Polygon,5,138,CAÑASGORDAS,ANTIOQUIA,5138,5138,Andina,505,OCCIDENTE,Rural,-,16256,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio,0.79284,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,5138.0,Antioquia,BELLO,3.119284,A4. Mayor que 3 y menor que 4 horas,95.377374,Antioquia,MEDELLÍN,3.680161,A4. Mayor que 3 y menor que 4 horas,104.661436,Pequeña propiedad,6998.40761250694,Pequeña propiedad,2352.0,4,10393.141024,SI,-,
346,Polygon,5,142,CARACOLI,ANTIOQUIA,5142,5142,Andina,502,MAGDALENA MEDIO,Rural,-,4781,-,1. EOT,SEIS,G1_ALTO,No PDET,NO ZOMAC,Bajo,0.554801,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5142.0,Antioquia,PUERTO BERRÍO,1.253597,A2. Mayor que 1 y menor que 2 horas,53.615642,Antioquia,MEDELLÍN,3.070699,A4. Mayor que 3 y menor que 4 horas,124.646717,Mediana propiedad,16342.67665428779,Pequeña propiedad,485.0,4,17950.558593,SI,-,
345,Polygon,5,145,CARAMANTA,ANTIOQUIA,5145,5145,Andina,507,SUROESTE,Intermedio,-,4907,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Bajo,0.539787,2024,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,5145.0,Caldas,CHINCHINÁ,2.377258,A3. Mayor que 2 y menor que 3 horas,88.796255,Caldas,MANIZALES,2.545949,A3. Mayor que 2 y menor que 3 horas,94.86316,Pequeña propiedad,205.6458834546216,Pequeña propiedad,260.0,2,176.712805,SI,-,
344,Polygon,5,147,CAREPA,ANTIOQUIA,5147,5147,Andina,508,URABA,Intermedio,-,51777,-,2. PBOT,SEIS,G3_MEDIO,PDET Urabá Antioqueño, ZOMAC,Medio,0.38557,-,-,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,5147.0,Antioquia,CAREPA,0.0,A1. Menos 1 hora,0.0,Córdoba,MONTERÍA,4.674416,A5. Mayor que 4 y menor que 5 horas,242.106219,Mediana propiedad,26898.57646147588,Pequeña propiedad,1699.0,3,13713.227714,SI,-,
343,Polygon,5,148,CARMEN DE VIBORAL,ANTIOQUIA,5148,5148,Andina,506,ORIENTE,Intermedio,-,63761,-,2. PBOT,CUATRO,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.241529,-,-,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,5148.0,Antioquia,EL CARMEN DE VIBORAL,0.0,A1. Menos 1 hora,0.0,Antioquia,MEDELLÍN,1.373767,A2. Mayor que 1 y menor que 2 horas,52.898485,Pequeña propiedad,10924.4146274118,Pequeña propiedad,6800.0,2,7247.410876,SI,-,
342,Polygon,5,150,CAROLINA,ANTIOQUIA,5150,5150,Andina,504,NORTE,Rural,-,4174,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.447482,-,-,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,5150.0,Antioquia,BARBOSA,1.164349,A2. Mayor que 1 y menor que 2 horas,51.45412,Antioquia,MEDELLÍN,2.250145,A3. Mayor que 2 y menor que 3 horas,90.001638,Mediana propiedad,6989.981480998457,Pequeña propiedad,459.0,3,9278.216637,SI,-,
341,Polygon,5,154,CAUCASIA,ANTIOQUIA,5154,5154,Andina,501,BAJO CAUCA,Ciudades y aglomeraciones,-,97025,-,2. PBOT,CINCO,G2_MEDIO_ALTO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Medio Alto,0.502394,-,-,Irradiado_Mayor que 60 - hasta 70,Mayor que 60 - hasta 70,1,5154.0,Antioquia,CAUCASIA,0.0,A1. Menos 1 hora,0.0,Córdoba,MONTERÍA,2.412726,A3. Mayor que 2 y menor que 3 horas,126.236876,Mediana propiedad,79679.9968061304,Mediana propiedad,1123.0,3,113822.554453,SI,-,
340,Polygon,5,172,CHIGORODO,ANTIOQUIA,5172,5172,Andina,508,URABA,Intermedio,-,61741,-,2. PBOT,SEIS,G2_MEDIO_ALTO,PDET Urabá Antioqueño, ZOMAC,Medio,0.655842,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5172.0,Antioquia,CHIGORODÓ,0.0,A1. Menos 1 hora,0.0,Córdoba,MONTERÍA,4.872692,A5. Mayor que 4 y menor que 5 horas,252.517489,Mediana propiedad,35424.3675000736,Pequeña propiedad,1255.0,1,29802.865588,SI,-,
339,Polygon,5,190,CISNEROS,ANTIOQUIA,5190,5190,Andina,503,NORDESTE,Intermedio,-,10326,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.587224,-,-,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,5190.0,Antioquia,BARBOSA,0.719155,A1. Menos 1 hora,35.867619,Antioquia,MEDELLÍN,1.804951,A2. Mayor que 1 y menor que 2 horas,74.415137,Mediana propiedad,2162.8803489396596,Pequeña propiedad,545.0,4,2317.85893,SI,-,
338,Polygon,5,197,COCORNA,ANTIOQUIA,5197,5197,Andina,506,ORIENTE,Rural,-,16390,-,1. EOT,SEIS,G5_BAJO,No PDET, ZOMAC,Medio,0.681104,-,-,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,5197.0,Antioquia,EL SANTUARIO,0.578482,A1. Menos 1 hora,21.596551,Antioquia,MEDELLÍN,2.024986,A3. Mayor que 2 y menor que 3 horas,80.964885,Pequeña propiedad,14694.069077355722,Pequeña propiedad,5632.0,4,12887.0492,SI,-,
337,Polygon,5,206,CONCEPCION,ANTIOQUIA,5206,5206,Andina,506,ORIENTE,Rural,-,5020,-,1. EOT,SEIS,G3_MEDIO,No PDET, ZOMAC,Medio Bajo,0.556433,2017,3.2.1,Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,0,5206.0,Antioquia,BARBOSA,0.74562,A1. Menos 1 hora,13.402439,Antioquia,MEDELLÍN,1.808169,A2. Mayor que 1 y menor que 2 horas,51.418586,Mediana propiedad,5749.896571204415,Pequeña propiedad,1416.0,3,10273.026895,SI,Agropecuario,
336,Polygon,5,209,CONCORDIA,ANTIOQUIA,5209,5209,Andina,507,SUROESTE,Intermedio,-,22540,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.490702,2024,4.1.2,Mayor que 70 - hasta 80,Mayor que 70 - hasta 80,0,5209.0,Antioquia,CALDAS,1.673388,A2. Mayor que 1 y menor que 2 horas,59.147013,Antioquia,MEDELLÍN,2.149068,A3. Mayor que 2 y menor que 3 horas,82.353615,Pequeña propiedad,1247.904279392967,Pequeña propiedad,385.0,4,1608.565651,SI,-,
335,Polygon,5,212,COPACABANA,ANTIOQUIA,5212,5212,Andina,509,VALLE DEL ABURRA,Ciudades y aglomeraciones,-,83559,-,2. PBOT,TRES,G3_MEDIO,No PDET,NO ZOMAC,Bajo,0.220875,-,-,Irradiado_Mayor que 300 - hasta 400,Mayor que 300 - hasta 400,1,5212.0,Antioquia,COPACABANA,0.0,A1. Menos 1 hora,0.0,Antioquia,MEDELLÍN,0.657443,A1. Menos 1 hora,14.429646,Pequeña propiedad,2599.342170982123,Pequeña propiedad,1801.0,4,3260.881597,SI,-,
397,Polygon,5,234,DABEIBA,ANTIOQUIA,5234,5234,Andina,505,OCCIDENTE,Rural,-,24377,-,1. EOT,SEIS,G1_ALTO,PDET Urabá Antioqueño, ZOMAC,Medio Alto,0.631973,-,-,Irradiado_Mayor que 50 - hasta 60,Mayor que 50 - hasta 60,1,5234.0,Antioquia,CHIGORODÓ,3.270522,A4. Mayor que 3 y menor que 4 horas,111.165599,Antioquia,MEDELLÍN,5.004362,A6. Mayor que 5 y menor que 6 horas,148.190072,Mediana propiedad,28468.493523177374,Pequeña propiedad,1195.0,3,30810.790165,SI,-,
334,Polygon,5,237,DON MATIAS,ANTIOQUIA,5237,5237,Andina,504,NORTE,Intermedio,-,20198,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.416811,2017,3.2.2,Irradiado_Mayor que 120 - hasta 140,Mayor que 120 - hasta 140,1,5237.0,Antioquia,BARBOSA,0.587819,A1. Menos 1 hora,21.393607,Antioquia,MEDELLÍN,1.39111,A2. Mayor que 1 y menor que 2 horas,45.562951,Pequeña propiedad,6792.910460780678,Pequeña propiedad,1724.0,3,7754.750023,SI,Agropecuario,
333,Polygon,5,240,EBEJICO,ANTIOQUIA,5240,5240,Andina,505,OCCIDENTE,Rural,-,12713,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio Bajo,0.640288,-,-,Irradiado_Mayor que 200 - hasta 250,Mayor que 200 - hasta 250,1,5240.0,Antioquia,BELLO,2.003043,A3. Mayor que 2 y menor que 3 horas,50.167114,Antioquia,MEDELLÍN,2.092413,A3. Mayor que 2 y menor que 3 horas,40.527417,"Gran propiedad, latifundios",8652.645067591522,Pequeña propiedad,3572.0,3,8818.513763,SI,-,
332,Polygon,5,250,EL BAGRE,ANTIOQUIA,5250,5250,Andina,501,BAJO CAUCA,Intermedio,-,55845,-,2. PBOT,CINCO,G2_MEDIO_ALTO,PDET Bajo Cauca-Nordeste Antioqueño, ZOMAC,Medio Alto,0.891281,-,-,Irradiado_Mayor que 15 - hasta 20,Mayor que 15 - hasta 20,1,5250.0,Antioquia,EL BAGRE,0.0,A1. Menos 1 hora,0.0,Córdoba,MONTERÍA,4.352387,A5. Mayor que 4 y menor que 5 horas,205.228968,"Gran propiedad, latifundios",89731.71225984636,Mediana propiedad,901.0,4,71538.317512,SI,-,
331,Polygon,5,264,ENTRERRIOS,ANTIOQUIA,5264,5264,Andina,504,NORTE,Rural,-,11982,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Bajo,0.313992,2017,3.3.2,Irradiado_Mayor que 80 - hasta 100,Mayor que 80 - hasta 100,1,5264.0,Antioquia,BARBOSA,1.069663,A2. Mayor que 1 y menor que 2 horas,44.528636,Antioquia,MEDELLÍN,1.651265,A2. Mayor que 1 y menor que 2 horas,48.224473,Pequeña propiedad,7096.809102483894,Pequeña propiedad,1711.0,3,7737.44901,SI,Agropecuario,
