FID,Shape,DPTO_CCDGO,MPIO_CCDGO,MUNICIPIO,DEPARTAMENTO,PK,CODIGO_DANE,Region,CODIGO_PRO,PROVINCIA,RURALIDAD,Capital,Población,Área_No_Municipalizada,Instrumento,Categoria_Municipal,Nivel_Desempeño_Fiscal,PDET,ZOMAC,IRV,INFORMALIDAD,Año,Cod_precio,irradiado_rango_prec,rango_prec,irradiado,Codigo_D1,Isocrona_25k_DPTO,Isocrona_25K_MPIO,Isocrona_25K_TIEMPO,Isocrona_25K_HORA,Isocrona_25K_DIST,Isocrona_CAPIT_DPTO,Isocrona_CAPI_MPIO,Isocrona_CAPI_TIEMPO,Isocrona_CAPI_HORA,Isocrona_CAPI_DIST,Tamaño_Predial_Area,Tamaño_predial_AREA_HA,Tamaño_predial_numero,Tamaño_Predial_numero_(ha),GRUPO_UFH,AREA_UFH,Uso_agrope,Observacio,VCRT_valor_medio
404,Polygon,27,615,RIOSUCIO,Choco,27615,27615,Pacifica,2702,DARIEN,Rural disperso,-,62137,-,2. PBOT,SEIS,G3_MEDIO,PDET Chocó, ZOMAC,Alto,0.566667,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,27615.0,Antioquia,CHIGORODÓ,2.760955,A3. Mayor que 2 y menor que 3 horas,96.416356,Córdoba,MONTERÍA,7.575724,A8. Mayor que 8 horas,348.533845,"Gran propiedad, latifundios",8849.336869293153,Pequeña propiedad,30.0,2,11234.895643,SI,-,
429,Polygon,27,660,SAN JOSE DEL PALMAR,Choco,27660,27660,Pacifica,2705,SAN JUAN,Rural disperso,-,5597,-,1. EOT,SEIS,G1_ALTO,No PDET, ZOMAC,Alto,0.862669,-,-,Irradiado_Mayor que 5 - hasta 8,Mayor que 5 - hasta 8,1,27660.0,Valle del Cauca,CARTAGO,2.564674,A3. Mayor que 2 y menor que 3 horas,60.98671,Risaralda,PEREIRA,3.3525,A4. Mayor que 3 y menor que 4 horas,96.105801,"Gran propiedad, latifundios",37068.32401433376,Pequeña propiedad,233.0,4,40733.089947,SI,-,
430,Polygon,27,745,SIPI,Choco,27745,27745,Pacifica,2705,SAN JUAN,Rural disperso,-,3554,-,1. EOT,SEIS,G1_ALTO,PDET Chocó, ZOMAC,Alto,0.428571,-,-,Irradiado_Mayor que 5 - hasta 8,Mayor que 5 - hasta 8,1,nan,,,0.0, ,0.0,,,0.0, ,0.0,,,,,4,0.249714,SI,-,
431,Polygon,27,787,TADO,Choco,27787,27787,Pacifica,2705,SAN JUAN,Rural,-,19822,-,1. EOT,SEIS,G2_MEDIO_ALTO,No PDET, ZOMAC,Medio Alto,0.461165,-,-,Irradiado_Mayor que 5 - hasta 8,Mayor que 5 - hasta 8,1,27787.0,Chocó,SAN FRANCISCO DE QUIBDÓ,1.764528,A2. Mayor que 1 y menor que 2 horas,65.484271,Chocó,SAN FRANCISCO DE QUIBDÓ,1.490606,A2. Mayor que 1 y menor que 2 horas,64.74285,Pequeña propiedad,6.513642287684418,Pequeña propiedad,1.0,3,234.728319,SI,-,
432,Polygon,27,800,UNGUIA,Choco,27800,27800,Pacifica,2702,DARIEN,Rural,-,14285,-,1. EOT,SEIS,G1_ALTO,PDET Chocó, ZOMAC,Medio Alto,0.562738,-,-,Irradiado_Mayor que 20 - hasta 30,Mayor que 20 - hasta 30,1,27800.0,Antioquia,CHIGORODÓ,11.145023, ,186.121443,,,0.0, ,0.0,,,,,4,18539.330137,SI,-,
433,Polygon,27,810,UNION PANAMERICANA,Choco,27810,27810,Pacifica,2705,SAN JUAN,Intermedio,-,7364,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Medio Bajo,0.41,-,-,Irradiado_Mayor que 5 - hasta 8,Mayor que 5 - hasta 8,1,27810.0,Chocó,SAN FRANCISCO DE QUIBDÓ,1.589523,A2. Mayor que 1 y menor que 2 horas,56.648737,Chocó,SAN FRANCISCO DE QUIBDÓ,1.315601,A2. Mayor que 1 y menor que 2 horas,55.907316,Mediana propiedad,39.635356038250244,Mediana propiedad,1.0,3,162.28037,SI,-,
934,Polygon,41,1,NEIVA,HUILA,41001,41001,Andina,4102,NORTE,Ciudades y aglomeraciones,si,380019,-,3. POT,UNO,G2_MEDIO_ALTO,No PDET,NO ZOMAC,Medio,0.422447,2018,3.3.2,Irradiado_Mayor que 120 - hasta 140,Mayor que 120 - hasta 140,1,41001.0,Huila,NEIVA,0.0,A1. Menos 1 hora,0.0,Huila,NEIVA,0.0,A1. Menos 1 hora,0.0,Mediana propiedad,940.5217670131995,Pequeña propiedad,195.0,2,1057.86363,SI,-,
970,Polygon,41,6,ACEVEDO,HUILA,41006,41006,Andina,4104,SUR,Rural disperso,-,26773,-,1. EOT,SEIS,G4_MEDIO_BAJO,No PDET, ZOMAC,Medio,0.585178,2018,3.3.2,Irradiado_Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,1,41006.0,Huila,PITALITO,1.115731,A2. Mayor que 1 y menor que 2 horas,25.232085,Cauca,FLORENCIA,2.81222,A3. Mayor que 2 y menor que 3 horas,75.582042,"Gran propiedad, latifundios",6.340258020922644,"Gran propiedad, latifundios",1.0,1,817.458028,SI,-,
969,Polygon,41,13,AGRADO,HUILA,41013,41013,Andina,4101,CENTRO,Rural,-,9408,-,1. EOT,SEIS,G3_MEDIO,No PDET,NO ZOMAC,Bajo,0.494276,2018,3.2.1,Irradiado_Mayor que 40 - hasta 50,Mayor que 40 - hasta 50,1,41013.0,Huila,GARZÓN,0.79302,A1. Menos 1 hora,23.996551,Huila,NEIVA,2.936331,A3. Mayor que 2 y menor que 3 horas,131.465094,Mediana propiedad,1777.410973291734,Pequeña propiedad,241.0,2,2957.97656,SI,-,
968,Polygon,41,16,AIPE,HUILA,41016,41016,Andina,4102,NORTE,Rural,-,17322,-,1. EOT,SEIS,G5_BAJO,No PDET,NO ZOMAC,Medio Bajo,0.4687,2018,3.2.2,Mayor que 30 - hasta 40,Mayor que 30 - hasta 40,0,41016.0,Huila,NEIVA,1.016596,A2. Mayor que 1 y menor que 2 horas,39.790664,Huila,NEIVA,0.966759,A1. Menos 1 hora,38.890664,Mediana propiedad,529.6961326912002,Pequeña propiedad,120.0,1,293.607245,SI,-,
